show_id,type,title,director,date_added,release_year,listed_in
1,Movie,Dick Johnson Is Dead,Kirsten Johnson,"September 25, 2021",2020,Documentaries
8,Movie,Sankofa,Haile Gerima,"September 24, 2021",1993,"Dramas, Independent Movies, International Movies"
9,TV Show,The Great British Baking Show,Andy Devonshire,"September 24, 2021",2021,"British TV Shows, Reality TV"
10,Movie,The Starling,Theodore Melfi,"September 24, 2021",2021,"Comedies, Dramas"
13,Movie,Je Suis Karl,Christian Schwochow,"September 23, 2021",2021,"Dramas, International Movies"
14,Movie,Confessions of an Invisible Girl,Bruno Garotti,"September 22, 2021",2021,"Children & Family Movies, Comedies"
25,Movie,Jeans,S. Shankar,"September 21, 2021",1998,"Comedies, International Movies, Romantic Movies"
28,Movie,Grown Ups,Dennis Dugan,"September 20, 2021",2010,Comedies
29,Movie,Dark Skies,Scott Stewart,"September 19, 2021",2013,"Horror Movies, Sci-Fi & Fantasy"
30,Movie,Paranoia,Robert Luketic,"September 19, 2021",2013,Thrillers
39,Movie,Birth of the Dragon,George Nolfi,"September 16, 2021",2017,"Action & Adventure, Dramas"
42,Movie,Jaws,Steven Spielberg,"September 16, 2021",1975,"Action & Adventure, Classic Movies, Dramas"
43,Movie,Jaws 2,Jeannot Szwarc,"September 16, 2021",1978,"Dramas, Horror Movies, Thrillers"
44,Movie,Jaws 3,Joe Alves,"September 16, 2021",1983,"Action & Adventure, Horror Movies, Thrillers"
45,Movie,Jaws: The Revenge,Joseph Sargent,"September 16, 2021",1987,"Action & Adventure, Horror Movies, Thrillers"
46,Movie,My Heroes Were Cowboys,Tyler Greco,"September 16, 2021",2021,Documentaries
47,Movie,Safe House,Daniel Espinosa,"September 16, 2021",2012,Action & Adventure
48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"September 16, 2021",2020,"International TV Shows, Romantic TV Shows, TV Comedies"
49,Movie,Training Day,Antoine Fuqua,"September 16, 2021",2001,"Dramas, Thrillers"
